質問,回答
メニューにアレルギー表示はありますか？,はい、メニューにアレルギー情報を記載しています。詳細はスタッフまでお尋ねください。
予約は必要ですか？,週末や祝日は特に混雑が予想されるため、事前のご予約をお勧めします。
ベジタリアン向けのメニューはありますか？,はい、ベジタリアンのお客様向けのオプションをご用意しております。
駐車場はありますか？,はい、レストランの近くに駐車スペースがございます。
グループでの予約は可能ですか？,はい、グループでのご予約も承っております。ただし、事前にご連絡いただくことをお勧めします。
キッズメニューはありますか？,はい、お子様向けのメニューをご用意しております。
席に電源はありますか？,店舗によりますが、電源を利用できる席もございます。店舗にお問い合わせください。
Wi-Fiは利用できますか？,はい、無料Wi-Fiを提供しております。パスワードは店内の案内をご覧ください。
テイクアウトはできますか？,はい、テイクアウトも承っております。メニューからお選びいただけます。
ペットを連れて行ってもいいですか？,ペットフレンドリーの店舗もございますが、事前に確認してください。
クレジットカードは使えますか？,はい、主要なクレジットカードはご利用いただけます。
ランチタイムの混雑はどのくらいですか？,ランチタイムは通常12時から14時の間にピークを迎えます。待ち時間は日によって異なります。
ハッピーアワーはありますか？,はい、17時から19時までハッピーアワー特典をご提供しています。
b]英語のメニューはありますか？,英語版のメニューもご用意しておりますので、お気軽にスタッフにお尋ねください。
喫煙席はありますか？,当店では禁煙としておりますが、喫煙コーナーを設けている店舗もございます。
コース料理はありますか？,はい、特別なコース料理を多数ご用意しております。詳細はメニューをご覧ください。
ドレスコードはありますか？,カジュアルな服装で大丈夫ですが、スマートカジュアルを推奨しております。
ベビーカーは店内に入れますか？,はい、ベビーカーでのご入店も可能です。ただし、店内の混雑時はご協力をお願いする場合があります。
ラストオーダーは何時ですか？,ラストオーダーは閉店時間の30分前です。事前に営業時間をご確認ください。
誕生日特典はありますか？,はい、事前にお申し出いただければ、誕生日特典をご用意することも可能です。
